,period,periodTime,periodTimeRemaining,event,eventType,eventResult,eventTeam,eventId,x0,y0,x1,y1,pass0x0,pass0y0,pass0x1,pass0y1,pass0result,pass0team,pass1x0,pass1y0,pass1x1,pass1y1,pass1result,pass1team,pass2x0,pass2y0,pass2x1,pass2y1,pass2result,pass2team,pass3x0,pass3y0,pass3x1,pass3y1,pass3result,pass3team,pass4x0,pass4y0,pass4x1,pass4y1,pass4result,pass4team,tags,linkedEvents,awayPlayer0Id,awayPlayer1Id,awayPlayer2Id,awayPlayer3Id,awayPlayer4Id,awayPlayer5Id,homePlayer0Id,homePlayer1Id,homePlayer2Id,homePlayer3Id,homePlayer4Id,homePlayer5Id,pass0player0Id,pass0player1Id,pass1player0Id,pass1player1Id,pass2player0Id,pass2player1Id,pass3player0Id,pass3player1Id,pass4player0Id,pass4player1Id,player0Id,player1Id
11,2,13:26:00,6:34:00,Shot,Wrist Shot,NA,TOR,2017020794_178_shawn.ferris@wne.edu,-35,-26,NA,NA,-61,-38,-31,-37,Completed,TOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Connor Carrick,Travis Dermott,James van Riemsdyk,Connor Brown,Frederik Andersen,Tyler Bozak,Tuukka Rask,David Krejci,Matt Grzelcyk,Ryan Spooner,Adam McQuaid,Jake DeBrusk,Tyler Bozak,Travis Dermott,NA,NA,NA,NA,NA,NA,NA,NA,Travis Dermott,Tuukka Rask
12,2,13:56:00,6:04:00,Shot,Wrist Shot,NA,BOS,2017020794_181_shawn.ferris@wne.edu,47,-30,NA,NA,32,12,39,-40,Completed,BOS,-28,41,-11,39,Completed,BOS,-67,41,-31,41,Completed,BOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017020794_665743704_shawn.ferris@wne.edu:2017020794_797525340_shawn.ferris@wne.edu,Connor Carrick,Nikita Zaitsev,James van Riemsdyk,Connor Brown,Frederik Andersen,Tyler Bozak,Brandon Carlo,Tuukka Rask,David Krejci,Matt Grzelcyk,Ryan Spooner,Jake DeBrusk,David Krejci,Ryan Spooner,Jake DeBrusk,David Krejci,Matt Grzelcyk,Jake DeBrusk,NA,NA,NA,NA,Ryan Spooner,Frederik Andersen
13,2,14:38:00,5:22:00,Missed Shot,NA,NA,BOS,2017020794_189_shawn.ferris@wne.edu,50,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017020794_205688567_shawn.ferris@wne.edu,Dominic Moore,Nikita Zaitsev,Kasperi Kapanen,Frederik Andersen,Leo Komarov,Jake Gardiner,Austin Czarnik,Tuukka Rask,Matt Grzelcyk,Sean Kuraly,Adam McQuaid,Frank Vatrano,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Matt Grzelcyk,NA
14,2,17:49:00,2:11:00,Shot,Wrist Shot,NA,BOS,2017020794_204_shawn.ferris@wne.edu,63,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017020794_75033928_shawn.ferris@wne.edu,Ron Hainsey,Connor Carrick,Mitchell Marner,James van Riemsdyk,Frederik Andersen,Tyler Bozak,Riley Nash,Austin Czarnik,Tuukka Rask,Matt Grzelcyk,Frank Vatrano,Charlie McAvoy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Frank Vatrano,Frederik Andersen
15,2,17:53:00,2:07:00,Missed Shot,NA,NA,BOS,2017020794_207_shawn.ferris@wne.edu,38,33,NA,NA,69,22,38,33,Completed,BOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,faceoff,NA,Travis Dermott,James van Riemsdyk,Connor Brown,Frederik Andersen,Tyler Bozak,Morgan Rielly,Brandon Carlo,Austin Czarnik,Tuukka Rask,Torey Krug,Sean Kuraly,Frank Vatrano,Sean Kuraly,Torey Krug,NA,NA,NA,NA,NA,NA,NA,NA,Torey Krug,NA
16,2,18:25:00,1:35:00,Missed Shot,NA,NA,TOR,2017020794_209,43,-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Travis Dermott,James van Riemsdyk,Connor Brown,Frederik Andersen,Tyler Bozak,Morgan Rielly,Brandon Carlo,Tuukka Rask,Danton Heinen,Torey Krug,Sean Kuraly,David Pastrnak,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Morgan Rielly,NA
17,2,18:49:00,1:11:00,Missed Shot,NA,NA,TOR,2017020794_213_shawn.ferris@wne.edu,-65,-29,NA,NA,84,-40,54,-40,Completed,TOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rush,2017020794_151196503_shawn.ferris@wne.edu:2017020794_241098252_shawn.ferris@wne.edu,Nikita Zaitsev,James van Riemsdyk,William Nylander,Frederik Andersen,Auston Matthews,Jake Gardiner,Zdeno Chara,Tuukka Rask,David Krejci,Ryan Spooner,Charlie McAvoy,Jake DeBrusk,Morgan Rielly,James van Riemsdyk,NA,NA,NA,NA,NA,NA,NA,NA,James van Riemsdyk,NA
18,2,19:15:00,0:45:00,Shot,Snap Shot,NA,BOS,2017020794_217_shawn.ferris@wne.edu,42,12,NA,NA,-45,-24,-21,5,Completed,BOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017020794_975127970_shawn.ferris@wne.edu:2017020794_734199158_shawn.ferris@wne.edu,Zach Hyman,Nikita Zaitsev,William Nylander,Frederik Andersen,Auston Matthews,Jake Gardiner,Zdeno Chara,Tuukka Rask,David Krejci,Ryan Spooner,Charlie McAvoy,Jake DeBrusk,Charlie McAvoy,Jake DeBrusk,NA,NA,NA,NA,NA,NA,NA,NA,Jake DeBrusk,Frederik Andersen
19,2,2:04:00,17:56:00,Shot,Backhand,NA,TOR,2017020243_121_shawn.ferris@wne.edu,-66,-18,NA,NA,-23,-4,1,-7,Completed,TOR,29,10,-20,-8,Completed,TOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017020243_139563223_shawn.ferris@wne.edu,Anders Bjork,Jordan Szwarz,Zdeno Chara,Anton Khudobin,Danton Heinen,Charlie McAvoy,Mitchell Marner,Nikita Zaitsev,James van Riemsdyk,Frederik Andersen,Tyler Bozak,Jake Gardiner,James van Riemsdyk,Tyler Bozak,Jake Gardiner,James van Riemsdyk,NA,NA,NA,NA,NA,NA,Tyler Bozak,Anton Khudobin
20,2,2:12:00,17:48:00,Missed Shot,NA,NA,TOR,2017020243_124_shawn.ferris@wne.edu,-37,-39,NA,NA,-65,-30,-26,-34,Completed,TOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anders Bjork,Paul Postma,Jordan Szwarz,Anton Khudobin,Danton Heinen,Kevan Miller,Ron Hainsey,Zach Hyman,Patrick Marleau,Connor Brown,Frederik Andersen,Morgan Rielly,Patrick Marleau,Morgan Rielly,NA,NA,NA,NA,NA,NA,NA,NA,Morgan Rielly,NA
21,2,2:23:00,17:37:00,Missed Shot,NA,NA,TOR,2017020243_125_shawn.ferris@wne.edu,-78,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anders Bjork,Paul Postma,Jordan Szwarz,Anton Khudobin,Danton Heinen,Kevan Miller,Ron Hainsey,Zach Hyman,Patrick Marleau,Connor Brown,Frederik Andersen,Morgan Rielly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zach Hyman,NA
22,2,3:15:00,16:45:00,Shot,Slap Shot,NA,BOS,2017020243_129_shawn.ferris@wne.edu,51,-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017020243_701173690_shawn.ferris@wne.edu,Zdeno Chara,Anton Khudobin,Matt Beleskey,Sean Kuraly,Charlie McAvoy,Jake DeBrusk,Connor Carrick,Matt Martin,Dominic Moore,Frederik Andersen,Josh Leivo,Andreas Borgman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Charlie McAvoy,Frederik Andersen
23,2,3:59:00,16:01:00,Missed Shot,NA,NA,TOR,2017020243_134_shawn.ferris@wne.edu,-63,-4,NA,NA,-77,31,-75,1,Completed,TOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017020243_990371463_shawn.ferris@wne.edu,Brandon Carlo,Anton Khudobin,Patrice Bergeron,Torey Krug,Brad Marchand,David Pastrnak,Ron Hainsey,William Nylander,Frederik Andersen,Nazem Kadri,Morgan Rielly,Leo Komarov,Nazem Kadri,Leo Komarov,NA,NA,NA,NA,NA,NA,NA,NA,Leo Komarov,NA
24,2,6:03:00,13:57:00,Missed Shot,NA,NA,TOR,2017020243_144_shawn.ferris@wne.edu,-32,-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017020243_985236749_shawn.ferris@wne.edu,Brandon Carlo,Anton Khudobin,Danton Heinen,Torey Krug,Noel Acciari,Charlie McAvoy,Patrick Marleau,Connor Brown,William Nylander,Frederik Andersen,Josh Leivo,Jake Gardiner,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jake Gardiner,NA
25,2,6:41:00,13:19:00,Missed Shot,NA,NA,BOS,2017020243_147_shawn.ferris@wne.edu,34,-35,NA,NA,28,1,35,-35,Completed,BOS,53,39,28,21,Completed,BOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017020243_977949062_shawn.ferris@wne.edu,Paul Postma,Anton Khudobin,Matt Beleskey,Sean Kuraly,Jake DeBrusk,Kevan Miller,Connor Carrick,Zach Hyman,Dominic Moore,Frederik Andersen,Leo Komarov,Andreas Borgman,Paul Postma,Kevan Miller,Matt Beleskey,Paul Postma,NA,NA,NA,NA,NA,NA,Kevan Miller,NA
26,2,6:43:00,13:17:00,Shot,Snap Shot,NA,BOS,2017020243_148_shawn.ferris@wne.edu,84,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017020243_977949062_shawn.ferris@wne.edu,Paul Postma,Anton Khudobin,Matt Beleskey,Sean Kuraly,Jake DeBrusk,Kevan Miller,Connor Carrick,Zach Hyman,Dominic Moore,Frederik Andersen,Leo Komarov,Andreas Borgman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Matt Beleskey,Frederik Andersen
27,2,7:06:00,12:54:00,Shot,Snap Shot,NA,BOS,2017020243_153_shawn.ferris@wne.edu,66,12,NA,NA,21,-20,35,38,Completed,BOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rush,2017020243_916237335_shawn.ferris@wne.edu,Brandon Carlo,Anton Khudobin,Patrice Bergeron,Torey Krug,Brad Marchand,David Pastrnak,Ron Hainsey,William Nylander,Frederik Andersen,Nazem Kadri,Morgan Rielly,Leo Komarov,Patrice Bergeron,David Pastrnak,NA,NA,NA,NA,NA,NA,NA,NA,David Pastrnak,Frederik Andersen
28,2,7:08:00,12:52:00,Shot,Wrist Shot,NA,BOS,2017020243_154_shawn.ferris@wne.edu,82,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rebound,2017020243_916237335_shawn.ferris@wne.edu,Brandon Carlo,Anton Khudobin,Patrice Bergeron,Torey Krug,Brad Marchand,David Pastrnak,Ron Hainsey,William Nylander,Frederik Andersen,Nazem Kadri,Morgan Rielly,Leo Komarov,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Patrice Bergeron,Frederik Andersen
29,2,8:21:00,11:39:00,Shot,Tip-In,NA,TOR,2017020243_163_shawn.ferris@wne.edu,-60,-5,NA,NA,-28,-26,-59,-5,Completed,TOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tip,2017020243_323896861_shawn.ferris@wne.edu:2017020243_847466441_shawn.ferris@wne.edu,Riley Nash,Zdeno Chara,Anton Khudobin,Noel Acciari,Tim Schaller,Charlie McAvoy,Mitchell Marner,Nikita Zaitsev,James van Riemsdyk,Frederik Andersen,Tyler Bozak,Jake Gardiner,Jake Gardiner,Tyler Bozak,NA,NA,NA,NA,NA,NA,NA,NA,Tyler Bozak,Anton Khudobin
30,2,8:42:00,11:18:00,Missed Shot,NA,NA,TOR,2017020243_165_shawn.ferris@wne.edu,-62,-3,NA,NA,-80,21,-64,10,Completed,TOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017020243_323896861_shawn.ferris@wne.edu:2017020243_847466441_shawn.ferris@wne.edu,Riley Nash,Zdeno Chara,Anton Khudobin,Noel Acciari,Tim Schaller,Charlie McAvoy,Mitchell Marner,Nikita Zaitsev,James van Riemsdyk,Frederik Andersen,Tyler Bozak,Jake Gardiner,Patrick Marleau,James van Riemsdyk,NA,NA,NA,NA,NA,NA,NA,NA,James van Riemsdyk,NA
31,2,9:19:00,10:41:00,Shot,Snap Shot,NA,BOS,2017020243_169_shawn.ferris@wne.edu,43,2,NA,NA,NA,NA,NA,NA,NA,BOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brandon Carlo,Anton Khudobin,Matt Beleskey,Sean Kuraly,Jake DeBrusk,Kevan Miller,Connor Carrick,Matt Martin,Dominic Moore,Frederik Andersen,Josh Leivo,Andreas Borgman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sean Kuraly,Frederik Andersen
32,2,9:25:00,10:35:00,Shot,Wrist Shot,NA,BOS,2017020243_171_shawn.ferris@wne.edu,50,-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017020243_363572067_shawn.ferris@wne.edu:2017020243_193019160_shawn.ferris@wne.edu,Brandon Carlo,Anton Khudobin,Matt Beleskey,Sean Kuraly,Jake DeBrusk,Kevan Miller,Connor Carrick,Matt Martin,Dominic Moore,Frederik Andersen,Josh Leivo,Andreas Borgman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sean Kuraly,Frederik Andersen
33,2,10:23:00,9:37:00,Shot,Wrist Shot,NA,BOS,2017020243_176_shawn.ferris@wne.edu,83,-4,NA,NA,84,-16,83,-6,Completed,BOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017020243_403565489_shawn.ferris@wne.edu,Anders Bjork,Jordan Szwarz,Zdeno Chara,Anton Khudobin,Danton Heinen,Charlie McAvoy,Ron Hainsey,Patrick Marleau,Connor Brown,Frederik Andersen,Morgan Rielly,Leo Komarov,Charlie McAvoy,Danton Heinen,NA,NA,NA,NA,NA,NA,NA,NA,Danton Heinen,Frederik Andersen
34,2,10:54:00,9:06:00,Shot,Snap Shot,NA,BOS,2017020243_180_shawn.ferris@wne.edu,61,15,NA,NA,-49,21,24,39,Completed,BOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rush,2017020243_830268328_shawn.ferris@wne.edu,Anders Bjork,Jordan Szwarz,Zdeno Chara,Anton Khudobin,Danton Heinen,Charlie McAvoy,Zach Hyman,Patrick Marleau,Nikita Zaitsev,Connor Brown,Frederik Andersen,Jake Gardiner,Zdeno Chara,Danton Heinen,NA,NA,NA,NA,NA,NA,NA,NA,Danton Heinen,Frederik Andersen
35,2,11:07:00,8:53:00,Shot,Snap Shot,NA,BOS,2017020243_183_shawn.ferris@wne.edu,56,-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anders Bjork,Jordan Szwarz,Zdeno Chara,Anton Khudobin,Danton Heinen,Charlie McAvoy,Zach Hyman,Patrick Marleau,Nikita Zaitsev,Connor Brown,Frederik Andersen,Jake Gardiner,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Danton Heinen,Frederik Andersen
36,2,14:06:00,5:54:00,Shot,Snap Shot,NA,BOS,2017020243_199_shawn.ferris@wne.edu,72,1,NA,NA,88,29,75,1,Completed,BOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017020243_27116686_shawn.ferris@wne.edu:2017020243_13013753_shawn.ferris@wne.edu,Paul Postma,Riley Nash,Anton Khudobin,Tim Schaller,Kevan Miller,David Pastrnak,Dominic Moore,Nikita Zaitsev,James van Riemsdyk,Frederik Andersen,Nazem Kadri,Jake Gardiner,Riley Nash,Tim Schaller,NA,NA,NA,NA,NA,NA,NA,NA,Tim Schaller,Frederik Andersen
37,2,14:14:00,5:46:00,Shot,Snap Shot,NA,TOR,2017020243_200_shawn.ferris@wne.edu,-71,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017020243_721967682_shawn.ferris@wne.edu:2017020243_361270500_shawn.ferris@wne.edu,Paul Postma,Anton Khudobin,Matt Beleskey,Sean Kuraly,Kevan Miller,David Pastrnak,Ron Hainsey,Zach Hyman,Dominic Moore,Nikita Zaitsev,Frederik Andersen,Nazem Kadri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nazem Kadri,Anton Khudobin
38,2,14:26:00,5:34:00,Shot,Wrist Shot,NA,TOR,2017020243_202,-78,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Paul Postma,Anton Khudobin,Matt Beleskey,Sean Kuraly,Kevan Miller,David Pastrnak,Ron Hainsey,Zach Hyman,Dominic Moore,Frederik Andersen,Morgan Rielly,Leo Komarov,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dominic Moore,Anton Khudobin
39,2,14:27:00,5:33:00,Shot,Snap Shot,NA,TOR,2017020243_203,-79,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Paul Postma,Anton Khudobin,Matt Beleskey,Sean Kuraly,Kevan Miller,David Pastrnak,Ron Hainsey,Zach Hyman,Dominic Moore,Frederik Andersen,Morgan Rielly,Leo Komarov,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dominic Moore,Anton Khudobin
